key,en,es,fr,de,ja,zh
migrationDetailsTitle,"Explorer Dates - Settings Migration","Explorer Dates - Migración de configuración","Explorer Dates - Migration des paramètres","Explorer Dates - Einstellungen migrieren","Explorer Dates - 設定の移行","Explorer Dates - 设置迁移"
migrationDetailsHeader,"Settings Migration","Migración de configuración","Migration des paramètres","Einstellungen migrieren","設定の移行","设置迁移"
gitAttributionWarning,"Explorer Dates: Git attribution badges are unavailable on VS Code for Web. Time-based decorations remain available.","Explorer Dates: Las insignias de atribución de Git no están disponibles en VS Code para la Web. Las decoraciones basadas en tiempo siguen disponibles.","Explorer Dates : Les badges d’attribution Git ne sont pas disponibles sur VS Code pour le Web. Les décorations basées sur le temps restent disponibles.","Explorer Dates: Git-Zuordnungsabzeichen sind in VS Code für das Web nicht verfügbar. Zeitbasierte Hervorhebungen bleiben verfügbar.","Explorer Dates: Git の帰属バッジは VS Code for Web では利用できません。時間ベースの装飾は引き続き利用できます。","Explorer Dates：Git 归属徽章在 VS Code Web 版中不可用。基于时间的装饰仍然可用。"
noOverridesToDocument,"No overrides to document.","No hay anulaciones para documentar.","Aucune substitution à documenter.","Keine Überschreibungen zu dokumentieren.","ドキュメント化する上書きはありません。","没有需要记录的覆盖项。"
overrideNotesHeader,"# Explorer Dates Override Notes\n\n","# Notas de anulación de Explorer Dates\n\n","# Notes de substitution Explorer Dates\n\n","# Explorer Dates Überschreibungsnotizen\n\n","# Explorer Dates 上書きメモ\n\n","# Explorer Dates 覆盖说明\n\n"
analysisCommandsDisabled,"Explorer Dates analysis commands are disabled. Shortcuts like Ctrl+Shift+M/H/A will not work until you enable explorerDates.enableAnalysisCommands.","Los comandos de análisis de Explorer Dates están deshabilitados. Atajos como Ctrl+Shift+M/H/A no funcionarán hasta que habilites explorerDates.enableAnalysisCommands.","Les commandes d’analyse Explorer Dates sont désactivées. Les raccourcis comme Ctrl+Shift+M/H/A ne fonctionneront pas tant que vous n’aurez pas activé explorerDates.enableAnalysisCommands.","Die Analysebefehle von Explorer Dates sind deaktiviert. Tastenkombinationen wie Ctrl+Shift+M/H/A funktionieren nicht, bis explorerDates.enableAnalysisCommands aktiviert ist.","Explorer Dates の分析コマンドは無効になっています。Ctrl+Shift+M/H/A などのショートカットは explorerDates.enableAnalysisCommands を有効にするまで機能しません。","Explorer Dates 分析命令已禁用。在启用 explorerDates.enableAnalysisCommands 之前，Ctrl+Shift+M/H/A 等快捷键将无法使用。"
analysisEnableNow,"Enable Now","Habilitar ahora","Activer maintenant","Jetzt aktivieren","今すぐ有効にする","立即启用"
analysisEnablePartially,"Enable partially succeeded. Update explorerDates.enableAnalysisCommands in remaining workspace folders manually.","La activación se completó parcialmente. Actualiza explorerDates.enableAnalysisCommands manualmente en las carpetas de trabajo restantes.","L’activation a partiellement réussi. Mettez à jour explorerDates.enableAnalysisCommands manuellement dans les dossiers d’espace de travail restants.","Die Aktivierung war teilweise erfolgreich. Aktualisieren Sie explorerDates.enableAnalysisCommands manuell in den verbleibenden Workspace-Ordnern.","有効化は一部成功しました。残りのワークスペースフォルダーで explorerDates.enableAnalysisCommands を手動で更新してください。","启用部分成功。请在剩余的工作区文件夹中手动更新 explorerDates.enableAnalysisCommands。"
analysisEnableFailed,"Enable failed: update explorerDates.enableAnalysisCommands in workspace settings.","Error al habilitar: actualiza explorerDates.enableAnalysisCommands en la configuración del espacio de trabajo.","Échec de l’activation : mettez à jour explorerDates.enableAnalysisCommands dans les paramètres de l’espace de travail.","Aktivierung fehlgeschlagen: Aktualisieren Sie explorerDates.enableAnalysisCommands in den Workspace-Einstellungen.","有効化に失敗しました：ワークスペース設定で explorerDates.enableAnalysisCommands を更新してください。","启用失败：请在工作区设置中更新 explorerDates.enableAnalysisCommands。"
workspaceTemplatesDisabled,"Workspace templates are disabled. Enable explorerDates.enableWorkspaceTemplates to use this command.","Las plantillas de espacio de trabajo están deshabilitadas. Habilita explorerDates.enableWorkspaceTemplates para usar este comando.","Les modèles d’espace de travail sont désactivés. Activez explorerDates.enableWorkspaceTemplates pour utiliser cette commande.","Workspace-Vorlagen sind deaktiviert. Aktivieren Sie explorerDates.enableWorkspaceTemplates, um diesen Befehl zu verwenden.","ワークスペーステンプレートは無効になっています。このコマンドを使用するには explorerDates.enableWorkspaceTemplates を有効にしてください。","工作区模板已禁用。启用 explorerDates.enableWorkspaceTemplates 以使用此命令。"
workspaceTemplatesDisabledSave,"Workspace templates are disabled. Enable explorerDates.enableWorkspaceTemplates to save templates.","Las plantillas de espacio de trabajo están deshabilitadas. Habilita explorerDates.enableWorkspaceTemplates para guardar plantillas.","Les modèles d’espace de travail sont désactivés. Activez explorerDates.enableWorkspaceTemplates pour enregistrer des modèles.","Workspace-Vorlagen sind deaktiviert. Aktivieren Sie explorerDates.enableWorkspaceTemplates, um Vorlagen zu speichern.","ワークスペーステンプレートは無効になっています。テンプレートを保存するには explorerDates.enableWorkspaceTemplates を有効にしてください。","工作区模板已禁用。启用 explorerDates.enableWorkspaceTemplates 以保存模板。"
enterTemplateName,"Enter template name","Introduce el nombre de la plantilla","Entrez le nom du modèle","Vorlagenname eingeben","テンプレート名を入力","输入模板名称"
enterTemplateDescription,"Enter description (optional)","Introduce la descripción (opcional)","Entrez la description (facultatif)","Beschreibung eingeben (optional)","説明を入力（任意）","输入描述（可选）"
failedToOpenTemplateManager,"Failed to open template manager: {0}","Error al abrir el administrador de plantillas: {0}","Impossible d’ouvrir le gestionnaire de modèles : {0}","Fehler beim Öffnen des Vorlagenmanagers: {0}","テンプレートマネージャーを開けませんでした: {0}","无法打开模板管理器：{0}"
failedToSaveTemplate,"Failed to save template: {0}","Error al guardar la plantilla: {0}","Impossible d’enregistrer le modèle : {0}","Fehler beim Speichern der Vorlage: {0}","テンプレートの保存に失敗しました: {0}","保存模板失败：{0}"
reportingDisabled,"Reporting features are disabled. Enable explorerDates.enableExportReporting to generate reports.","Las funciones de informes están deshabilitadas. Habilita explorerDates.enableExportReporting para generar informes.","Les fonctionnalités de rapport sont désactivées. Activez explorerDates.enableExportReporting pour générer des rapports.","Berichtsfunktionen sind deaktiviert. Aktivieren Sie explorerDates.enableExportReporting, um Berichte zu erstellen.","レポート機能は無効になっています。レポートを生成するには explorerDates.enableExportReporting を有効にしてください。","报表功能已禁用。启用 explorerDates.enableExportReporting 以生成报表。"
failedToGenerateReport,"Failed to generate report: {0}","Error al generar el informe: {0}","Impossible de générer le rapport : {0}","Fehler beim Erstellen des Berichts: {0}","レポートの生成に失敗しました: {0}","生成报表失败：{0}"
apiDisabled,"Explorer Dates API is disabled via settings.","La API de Explorer Dates está deshabilitada mediante la configuración.","L’API Explorer Dates est désactivée via les paramètres.","Die Explorer Dates API ist in den Einstellungen deaktiviert.","Explorer Dates API は設定で無効になっています。","Explorer Dates API 已通过设置禁用。"
failedToShowApiInformation,"Failed to show API information: {0}","Error al mostrar la información de la API: {0}","Impossible d’afficher les informations de l’API : {0}","Fehler beim Anzeigen der API-Informationen: {0}","API 情報の表示に失敗しました: {0}","显示 API 信息失败：{0}"
failedToShowWorkspaceActivity,"Failed to show workspace activity: {0}","Error al mostrar la actividad del espacio de trabajo: {0}","Impossible d’afficher l’activité de l’espace de travail : {0}","Fehler beim Anzeigen der Workspace-Aktivität: {0}","ワークスペースのアクティビティを表示できませんでした: {0}","显示工作区活动失败：{0}"
failedToShowPerformanceAnalytics,"Failed to show performance analytics: {0}","Error al mostrar los análisis de rendimiento: {0}","Impossible d’afficher les analyses de performance : {0}","Fehler beim Anzeigen der Leistungsanalysen: {0}","パフォーマンス分析を表示できませんでした: {0}","显示性能分析失败：{0}"
